m,nk,k,grid,ctas,ar_mib,tc_over_tg,E_1clk_mJ,E_1clk_ms,E_1clk_f,E_2clk_mJ,E_2clk_ms,E_2clk_fg,E_2clk_fc,E_dE_pct,E_dT_pct,T_1clk_mJ,T_1clk_ms,T_1clk_f,T_2clk_mJ,T_2clk_ms,T_2clk_fg,T_2clk_fc,T_dE_pct,T_dT_pct,EDP_1clk_mJ,EDP_1clk_ms,EDP_1clk_f,EDP_2clk_mJ,EDP_2clk_ms,EDP_2clk_fg,EDP_2clk_fc,EDP_dE_pct,EDP_dT_pct
8192,4096,4096,1024,32,64,0.4571,417.73,1.9177,900,417.14,1.8544,900,1200,-0.14,-3.3,460.99,1.4625,1200,467.91,1.4532,1200,1410,1.5,-0.63,460.99,1.4625,1200,460.99,1.4625,1200,1200,0.0,0.0
8192,8192,8192,2048,1,64,1.5383,1805.21,9.0752,900,1529.57,6.2099,900,1410,-15.27,-31.57,1943.18,6.9937,1200,1816.61,6.0355,1200,1410,-6.51,-13.7,1943.18,6.9937,1200,1529.57,6.2099,900,1410,-21.29,-11.21
8192,8192,8192,2048,2,64,0.7728,1515.49,6.1393,900,1465.94,6.0599,900,1410,-3.27,-1.29,1688.97,4.6314,1200,1661.77,4.6064,1200,1410,-1.61,-0.54,1688.97,4.6314,1200,1661.77,4.6064,1200,1410,-1.61,-0.54
8192,8192,8192,2048,4,64,0.4033,1459.42,6.0246,900,1439.7,5.985,900,1410,-1.35,-0.66,1646.52,4.5442,1200,1633.58,4.5315,1200,1410,-0.79,-0.28,1646.52,4.5442,1200,1633.58,4.5315,1200,1410,-0.79,-0.28
8192,8192,8192,2048,8,64,0.2244,1435.93,6.0387,900,1434.11,6.0116,900,1200,-0.13,-0.45,1627.2,4.5581,1200,1626.1,4.5439,1200,1410,-0.07,-0.31,1627.2,4.5581,1200,1626.1,4.5439,1200,1410,-0.07,-0.31
8192,8192,8192,2048,16,64,0.1444,1425.41,6.0787,900,1425.41,6.0787,900,900,0.0,0.0,1618.72,4.5888,1200,1627.31,4.5764,1200,1410,0.53,-0.27,1618.72,4.5888,1200,1618.72,4.5888,1200,1200,0.0,0.0
8192,8192,8192,2048,32,64,0.1256,1430.97,6.2114,900,1430.97,6.2114,900,900,0.0,0.0,1623.51,4.6913,1200,1645.42,4.6816,1200,1410,1.35,-0.21,1623.51,4.6913,1200,1623.51,4.6913,1200,1200,0.0,0.0
8192,16384,16384,4096,1,64,0.3929,5698.08,23.3388,900,5597.14,23.2588,900,1410,-1.77,-0.34,6538.78,17.5577,1200,6478.87,17.5324,1200,1410,-0.92,-0.14,6538.78,17.5577,1200,6478.87,17.5324,1200,1410,-0.92,-0.14
8192,16384,16384,4096,2,64,0.1974,5581.21,23.22,900,5541.7,23.1803,900,1410,-0.71,-0.17,6442.76,17.4664,1200,6420.17,17.4539,1200,1410,-0.35,-0.07,6442.76,17.4664,1200,6420.17,17.4539,1200,1410,-0.35,-0.07
8192,16384,16384,4096,4,64,0.103,5532.49,23.2252,900,5528.08,23.1857,900,1410,-0.08,-0.17,6406.77,17.4719,1200,6401.36,17.4593,1200,1410,-0.08,-0.07,6406.77,17.4719,1200,6401.36,17.4593,1200,1410,-0.08,-0.07
8192,16384,16384,4096,8,64,0.0573,5506.87,23.2045,900,5506.87,23.2045,900,900,0.0,0.0,6385.5,17.4578,1200,6399.66,17.4471,1200,1410,0.22,-0.06,6385.5,17.4578,1200,6385.5,17.4578,1200,1200,0.0,0.0
8192,16384,16384,4096,16,64,0.0369,5497.11,23.2569,900,5496.37,23.293,900,705,-0.01,0.16,6377.72,17.4986,1200,6416.48,17.4879,1200,1410,0.61,-0.06,6377.72,17.4986,1200,6359.88,17.5305,1200,900,-0.28,0.18
8192,16384,16384,4096,32,64,0.0321,5504.05,23.412,900,5491.91,23.5368,900,510,-0.22,0.53,6383.76,17.619,1200,6465.86,17.6093,1200,1410,1.29,-0.06,6383.76,17.619,1200,6346.16,17.6856,1200,900,-0.59,0.38
