m,nk,mib,tc_over_tg,matched_E_pct,A_E_mJ,A_E_ms,A_E_set,B_E_mJ,B_E_ms,B_E_set,C_E_mJ,C_E_ms,C_E_set,CvB_E_mJ_pct,CvB_E_ms_pct,CvA_E_mJ_pct,CvA_E_ms_pct,matched_T_pct,A_T_mJ,A_T_ms,A_T_set,B_T_mJ,B_T_ms,B_T_set,C_T_mJ,C_T_ms,C_T_set,CvB_T_mJ_pct,CvB_T_ms_pct,CvA_T_mJ_pct,CvA_T_ms_pct,matched_EDP_pct,A_EDP_mJ,A_EDP_ms,A_EDP_set,B_EDP_mJ,B_EDP_ms,B_EDP_set,C_EDP_mJ,C_EDP_ms,C_EDP_set,CvB_EDP_mJ_pct,CvB_EDP_ms_pct,CvA_EDP_mJ_pct,CvA_EDP_ms_pct
4096,8192,32,0.147,-0.36,724.3,3.1184,f900/900 c14,736.5,3.0864,f900/900 c5,733.9,3.0864,f900/1200 c5,-0.36,0.0,1.32,-1.03,-0.22,892.0,2.2801,f1215/1215 c2,893.9,2.2851,f1215/1215 c2,891.9,2.2851,f1215/1365 c2,-0.22,0.0,-0.01,0.22,0.0,843.8,2.3046,f1200/1200 c5,848.3,2.3172,f1200/1200 c5,848.3,2.3172,f1200/1200 c5,0.0,0.0,0.53,0.55
4096,8192,128,0.487,-0.0,782.4,3.2356,f900/900 c14,804.4,3.424,f900/900 c14,804.4,3.424,f900/945 c14,-0.0,0.0,2.82,5.82,-0.06,905.1,2.4758,f1200/1200 c10,978.8,2.4969,f1230/1230 c7,985.9,2.4942,f1230/1260 c6,0.73,-0.11,8.93,0.74,-0.01,892.6,2.477,f1185/1185 c14,914.8,2.5677,f1200/1200 c13,913.6,2.5705,f1200/1035 c14,-0.13,0.11,2.36,3.78
4096,8192,256,0.94,-0.17,858.9,3.3766,f900/900 c14,872.3,3.424,f900/900 c14,870.8,3.424,f900/1110 c14,-0.17,0.0,1.39,1.4,0.0,967.4,2.6093,f1185/1185 c14,1007.1,2.567,f1215/1215 c14,1007.9,2.5432,f1215/1245 c14,0.08,-0.93,4.19,-2.53,0.0,967.4,2.6093,f1185/1185 c14,980.4,2.5831,f1200/1200 c14,980.8,2.5705,f1200/1215 c14,0.04,-0.49,1.38,-1.49
8192,8192,8,0.033,0.0,1379.0,5.8176,f900/900 c10,1407.5,6.1244,f900/900 c4,1407.5,6.1244,f900/900 c4,0.0,0.0,2.07,5.27,-0.1,1617.3,4.3746,f1200/1200 c2,1693.8,4.5327,f1215/1215 c1,1692.2,4.5327,f1215/1410 c1,-0.1,0.0,4.63,3.62,0.0,1617.3,4.3746,f1200/1200 c2,1636.3,4.5865,f1200/1200 c2,1636.3,4.5865,f1200/1200 c2,0.0,0.0,1.17,4.84
8192,8192,32,0.078,-0.1,1395.2,5.8719,f900/900 c14,1430.9,6.131,f900/900 c5,1429.5,6.131,f900/1200 c5,-0.1,0.0,2.46,4.41,-0.43,1660.6,4.443,f1200/1200 c2,1764.1,4.5327,f1215/1215 c1,1756.5,4.5327,f1215/1410 c1,-0.43,0.0,5.78,2.02,0.0,1630.6,4.4638,f1185/1185 c5,1656.1,4.6015,f1200/1200 c5,1656.1,4.6015,f1200/1200 c5,0.0,0.0,1.56,3.08
8192,8192,128,0.258,-0.05,1456.2,6.1048,f900/900 c18,1511.2,6.4705,f900/900 c10,1510.5,6.4705,f900/1065 c10,-0.05,0.0,3.73,5.99,-0.01,1720.3,4.5828,f1185/1185 c5,1750.8,4.5965,f1200/1200 c4,1808.6,4.5476,f1215/1020 c4,3.3,-1.06,5.13,-0.77,0.0,1720.3,4.5828,f1185/1185 c5,1737.2,4.6015,f1200/1200 c5,1737.2,4.6015,f1200/1200 c5,0.0,0.0,0.98,0.41
8192,8192,256,0.498,-0.33,1537.2,6.3934,f900/900 c18,1591.3,6.4705,f900/900 c10,1586.1,6.4705,f900/1200 c10,-0.33,0.0,3.18,1.21,-0.03,1774.3,4.8551,f1170/1170 c10,1878.1,4.7889,f1215/1215 c7,1895.1,4.7837,f1215/1320 c6,0.91,-0.11,6.81,-1.47,0.0,1774.3,4.8551,f1170/1170 c10,1807.1,4.8562,f1200/1200 c10,1807.1,4.8562,f1200/1200 c10,0.0,0.0,1.85,0.02
1024,16384,8,0.062,-0.04,716.4,3.0696,f900/900 c5,720.3,3.0864,f900/900 c5,720.0,3.083,f900/1200 c4,-0.04,-0.11,0.5,0.44,-0.25,835.1,2.3046,f1200/1200 c5,852.5,2.3071,f1200/1200 c1,877.9,2.2826,f1215/1125 c1,2.98,-1.06,5.12,-0.96,0.0,835.1,2.3046,f1200/1200 c5,840.3,2.3121,f1200/1200 c3,840.3,2.3121,f1200/1200 c3,0.0,0.0,0.62,0.33
1024,16384,32,0.147,-0.35,732.1,3.1556,f900/900 c22,743.2,3.0864,f900/900 c5,740.6,3.0864,f900/1200 c5,-0.35,0.0,1.15,-2.19,-0.3,855.4,2.3046,f1200/1200 c5,881.2,2.3096,f1200/1200 c2,878.5,2.3096,f1200/1410 c2,-0.3,0.0,2.71,0.22,0.0,855.4,2.3046,f1200/1200 c5,859.9,2.3172,f1200/1200 c5,859.9,2.3172,f1200/1200 c5,0.0,0.0,0.53,0.55
1024,16384,128,0.487,-1.27,791.2,3.3556,f900/900 c22,832.2,3.7395,f900/900 c16,821.6,3.0864,f900/1200 c5,-1.27,-17.46,3.85,-8.02,-12.15,909.2,2.6382,f1170/1170 c15,1039.6,2.6884,f1245/1245 c6,920.2,2.6499,f1080/1410 c5,-11.48,-1.43,1.21,0.44,-5.51,902.3,2.6532,f1155/1155 c22,946.1,2.7982,f1200/1200 c13,913.3,2.6633,f1065/1410 c5,-3.46,-4.82,1.22,0.38
