ctas,comm_sm_pct,ar_mib,m,nk,f_gemm,f_comm,iter_ms,energy_mj,base_energy_mj,base_iter_ms,base_clock,dE_vs_auto_pct,is_best_pair_for_workload,is_global_fixed_pair
2,1.9,64,2048,4096,1200,300,12.5602,1293.60,507.91,3.1850,1410,+154.69,False,False
2,1.9,64,2048,4096,1200,510,7.6145,828.30,507.91,3.1850,1410,+63.08,False,False
2,1.9,64,2048,4096,1200,705,5.7157,649.05,507.91,3.1850,1410,+27.79,False,False
2,1.9,64,2048,4096,1200,900,4.5848,545.79,507.91,3.1850,1410,+7.46,False,False
2,1.9,64,2048,4096,1200,1050,3.9733,476.77,507.91,3.1850,1410,-6.13,False,False
2,1.9,64,2048,4096,1200,1200,3.5238,450.10,507.91,3.1850,1410,-11.38,False,False
2,1.9,64,2048,4096,1200,1305,3.2662,408.21,507.91,3.1850,1410,-19.63,False,False
2,1.9,64,2048,4096,1200,1410,3.0485,405.40,507.91,3.1850,1410,-20.18,False,False
2,1.9,64,2048,4096,1305,300,12.5602,1402.67,507.91,3.1850,1410,+176.16,False,False
2,1.9,64,2048,4096,1305,510,7.6145,899.23,507.91,3.1850,1410,+77.04,False,False
2,1.9,64,2048,4096,1305,705,5.7157,705.34,507.91,3.1850,1410,+38.87,False,False
2,1.9,64,2048,4096,1305,900,4.5848,593.36,507.91,3.1850,1410,+16.82,False,False
2,1.9,64,2048,4096,1305,1050,3.9733,519.62,507.91,3.1850,1410,+2.31,False,False
2,1.9,64,2048,4096,1305,1200,3.5238,489.49,507.91,3.1850,1410,-3.63,False,False
2,1.9,64,2048,4096,1305,1305,3.2662,445.61,507.91,3.1850,1410,-12.27,False,False
2,1.9,64,2048,4096,1305,1410,3.0485,441.12,507.91,3.1850,1410,-13.15,False,False
2,1.9,64,2048,8192,300,300,12.5602,1318.06,866.85,3.2780,1410,+52.05,False,False
2,1.9,64,2048,8192,300,510,7.6145,917.28,866.85,3.2780,1410,+5.82,False,False
