clock,ctas,m,n,k,grid,waves,s_eff,occ_pct,clock_min,throttled,t_gemm_ms,t_comm_ms,t_serial_ms,t_conc_meas_ms,t_conc_pred_ms,err_t_pct,p_meas_w,p_model_measT_w,err_p_measT_pct,p_model_predT_w,err_p_predT_pct,speedup
510,1,8192,16384,16384,4096,38,107.79,99.8,510,False,40.7304,15.1191,55.717,41.9738,41.8022,-0.41,164.31,166.06,1.07,166.51,1.34,1.3274
300,1,1024,4096,4096,128,2,64.0,59.3,300,False,0.9993,24.9705,25.9345,25.0472,24.9705,-0.31,79.35,82.99,4.58,83.07,4.68,1.0354
300,1,2048,4096,4096,256,3,85.33,79.0,300,False,1.4665,24.9705,26.3981,25.0698,24.9705,-0.4,80.88,84.3,4.23,84.42,4.37,1.053
300,1,4096,4096,4096,512,5,102.4,94.8,300,False,2.4191,24.9705,27.3497,25.0921,24.9705,-0.48,84.54,86.97,2.88,87.12,3.05,1.09
300,1,8192,4096,4096,1024,10,102.4,94.8,300,False,4.7723,24.9705,29.6866,25.154,24.9705,-0.73,89.75,92.27,2.81,92.54,3.1,1.1802
300,1,1024,8192,8192,512,5,102.4,94.8,300,False,2.4687,24.9705,27.3916,25.0936,24.9705,-0.49,82.23,87.28,6.14,87.43,6.33,1.0916
300,1,2048,8192,8192,512,5,102.4,94.8,300,False,4.6674,24.9705,29.578,25.142,24.9705,-0.68,89.76,92.42,2.97,92.67,3.24,1.1764
300,1,4096,8192,8192,1024,10,102.4,94.8,300,False,9.2685,24.9705,34.1058,25.2483,24.9705,-1.1,96.48,103.11,6.87,103.63,7.41,1.3508
300,1,8192,8192,8192,2048,19,107.79,99.8,300,False,17.5806,24.9705,42.4123,25.4776,24.9705,-1.99,117.01,124.0,5.97,125.37,7.14,1.6647
300,1,1024,16384,16384,512,5,102.4,94.8,300,False,9.1579,24.9705,34.0023,25.2318,24.9705,-1.04,98.57,103.27,4.77,103.76,5.27,1.3476
300,1,2048,16384,16384,1024,10,102.4,94.8,300,False,18.2448,24.9705,43.071,25.4158,24.9705,-1.75,120.66,124.59,3.25,125.8,4.26,1.6947
300,1,4096,16384,16384,2048,19,107.79,99.8,300,False,34.6335,24.9705,59.4587,36.5748,36.4563,-0.32,131.3,133.52,1.69,133.77,1.88,1.6257
300,1,8192,16384,16384,4096,38,107.79,99.8,300,False,69.1757,24.9705,93.9921,71.097,70.9962,-0.14,122.6,126.82,3.44,126.92,3.52,1.322
1410,2,1024,4096,4096,128,2,64.0,59.3,1410,False,0.2366,3.0506,3.2695,3.1636,3.0506,-3.57,129.96,137.93,6.13,139.88,7.63,1.0335
1410,2,2048,4096,4096,256,3,85.33,79.0,1410,False,0.3426,3.0506,3.3712,3.1907,3.0506,-4.39,147.72,157.31,6.49,160.62,8.73,1.0566
1410,2,4096,4096,4096,512,5,102.4,94.8,1410,False,0.5786,3.0506,3.567,3.212,3.0506,-5.03,177.4,198.79,12.06,204.79,15.44,1.1105
1410,2,8192,4096,4096,1024,10,102.4,94.8,1410,False,1.1339,3.0506,4.0865,3.295,3.0506,-7.42,249.61,273.53,9.58,288.6,15.62,1.2402
1410,2,1024,8192,8192,512,5,102.4,94.8,1410,False,0.5992,3.0506,3.5888,3.2176,3.0506,-5.19,184.13,203.73,10.65,210.21,14.17,1.1154
1410,2,2048,8192,8192,512,5,102.4,94.8,1410,False,1.1108,3.0506,4.0599,3.2831,3.0506,-7.08,249.54,274.95,10.18,289.4,15.97,1.2366
1410,2,4096,8192,8192,1024,10,102.4,94.8,1410,False,2.1955,3.0506,5.0522,3.443,3.0506,-11.4,379.8,414.92,9.25,457.31,20.41,1.4674
1410,2,8192,8192,8192,2048,19,107.79,99.8,1215,True,4.2213,3.0506,6.8388,4.6601,4.4435,-4.65,399.56,555.91,39.13,578.86,44.87,1.4675
1410,2,1024,16384,16384,512,5,102.4,94.8,1410,False,2.1901,3.0506,5.0257,3.4347,3.0506,-11.18,388.47,417.8,7.55,459.66,18.33,1.4632
1410,2,2048,16384,16384,1024,10,102.4,94.8,1215,True,4.3301,3.0506,6.9765,4.6257,4.3301,-6.39,398.99,552.72,38.53,584.63,46.53,1.5082
1410,2,4096,16384,16384,2048,19,107.79,99.8,1200,True,8.3922,3.0506,11.1726,9.0642,8.8339,-2.54,398.88,559.77,40.33,572.13,43.44,1.2326
1410,2,8192,16384,16384,4096,38,107.79,99.8,1185,True,16.7321,3.0506,19.7976,17.6877,17.1724,-2.91,397.3,564.57,42.1,578.95,45.72,1.1193
1200,2,1024,4096,4096,128,2,64.0,59.3,1200,False,0.2728,3.5252,3.7752,3.6394,3.5252,-3.14,109.7,111.27,1.43,112.62,2.66,1.0373
1200,2,2048,4096,4096,256,3,85.33,79.0,1200,False,0.3925,3.5252,3.9029,3.6733,3.5252,-4.03,119.12,122.64,2.96,124.87,4.83,1.0625
1200,2,4096,4096,4096,512,5,102.4,94.8,1200,False,0.6337,3.5252,4.1395,3.6892,3.5252,-4.44,139.94,145.35,3.86,148.87,6.38,1.1221
1200,2,8192,4096,4096,1024,10,102.4,94.8,1200,False,1.2294,3.5252,4.7249,3.781,3.5252,-6.77,180.24,186.96,3.73,195.47,8.45,1.2496
1200,2,1024,8192,8192,512,5,102.4,94.8,1200,False,0.6553,3.5252,4.1618,3.697,3.5252,-4.65,140.78,148.25,5.3,152.08,8.02,1.1257
1200,2,2048,8192,8192,512,5,102.4,94.8,1200,False,1.201,3.5252,4.6988,3.7646,3.5252,-6.36,178.27,188.01,5.46,196.04,9.97,1.2481
1200,2,4096,8192,8192,1024,10,102.4,94.8,1200,False,2.3552,3.5252,5.8944,3.9388,3.5252,-10.5,253.13,266.0,5.08,289.03,14.18,1.4965
1200,2,8192,8192,8192,2048,19,107.79,99.8,1200,False,4.4459,3.5252,7.9494,4.8544,4.6799,-3.59,353.7,364.58,3.08,375.58,6.18,1.6376
1200,2,1024,16384,16384,512,5,102.4,94.8,1200,False,2.3259,3.5252,5.8567,3.9227,3.5252,-10.13,255.34,267.66,4.82,289.99,13.57,1.493
1200,2,2048,16384,16384,1024,10,102.4,94.8,1200,False,4.6005,3.5252,8.1099,4.7926,4.6005,-4.01,353.64,368.9,4.31,381.39,7.85,1.6922
1200,2,4096,16384,16384,2048,19,107.79,99.8,1200,False,8.7155,3.5252,12.2659,9.342,9.1742,-1.8,361.39,364.04,0.73,369.42,2.22,1.313
1200,2,8192,16384,16384,4096,38,107.79,99.8,1200,False,17.3736,3.5252,20.9415,17.9954,17.8308,-0.91,373.51,368.53,-1.33,371.29,-0.59,1.1637
900,2,1024,4096,4096,128,2,64.0,59.3,900,False,0.3529,4.5591,4.8962,4.6782,4.5591,-2.55,95.59,95.75,0.17,96.65,1.11,1.0466
900,2,2048,4096,4096,256,3,85.33,79.0,900,False,0.5121,4.5591,5.066,4.7167,4.5591,-3.34,101.35,102.44,1.08,103.86,2.48,1.0741
900,2,4096,4096,4096,512,5,102.4,94.8,900,False,0.8336,4.5591,5.3823,4.7413,4.5591,-3.84,114.95,115.91,0.84,118.09,2.74,1.1352
900,2,8192,4096,4096,1024,10,102.4,94.8,900,False,1.6213,4.5591,6.1665,4.8453,4.5591,-5.91,140.53,140.82,0.21,145.81,3.75,1.2727
900,2,1024,8192,8192,512,5,102.4,94.8,900,False,0.8578,4.5591,5.4086,4.7479,4.5591,-3.98,115.63,117.8,1.87,120.13,3.89,1.1392
900,2,2048,8192,8192,512,5,102.4,94.8,900,False,1.5854,4.5591,6.127,4.8186,4.5591,-5.39,139.57,142.14,1.84,146.74,5.14,1.2715
900,2,4096,8192,8192,1024,10,102.4,94.8,900,False,3.1219,4.5591,7.66,5.0007,4.5591,-8.83,187.8,190.43,1.4,202.93,8.06,1.5318
900,2,8192,8192,8192,2048,19,107.79,99.8,900,False,5.8994,4.5591,10.5045,6.3768,6.2099,-2.62,243.99,242.79,-0.49,247.67,1.51,1.6473
900,2,1024,16384,16384,512,5,102.4,94.8,900,False,3.0825,4.5591,7.6225,4.9966,4.5591,-8.76,188.73,190.56,0.97,202.96,7.54,1.5255
900,2,2048,16384,16384,1024,10,102.4,94.8,900,False,6.1145,4.5591,10.7432,6.3133,6.1145,-3.15,244.2,244.72,0.21,250.68,2.66,1.7017
900,2,4096,16384,16384,2048,19,107.79,99.8,900,False,11.5825,4.5591,16.1261,12.3675,12.1922,-1.42,244.41,237.32,-2.9,239.85,-1.86,1.3039
900,2,8192,16384,16384,4096,38,107.79,99.8,900,False,23.1,4.5591,27.6451,23.8893,23.7079,-0.76,242.71,237.84,-2.01,239.19,-1.45,1.1572
705,2,1024,4096,4096,128,2,64.0,59.3,705,False,0.4418,5.7348,6.1519,5.8454,5.7348,-1.89,89.98,91.32,1.49,91.94,2.17,1.0524
705,2,2048,4096,4096,256,3,85.33,79.0,705,False,0.6451,5.7348,6.3684,5.9018,5.7348,-2.83,95.1,96.59,1.56,97.67,2.7,1.0791
705,2,4096,4096,4096,512,5,102.4,94.8,705,False,1.0549,5.7348,6.7744,5.9281,5.7348,-3.26,105.64,107.4,1.66,109.02,3.2,1.1428
705,2,8192,4096,4096,1024,10,102.4,94.8,705,False,2.0584,5.7348,7.7814,6.0405,5.7348,-5.06,125.54,127.56,1.61,131.19,4.5,1.2882
705,2,1024,8192,8192,512,5,102.4,94.8,705,False,1.0858,5.7348,6.8086,5.9439,5.7348,-3.52,105.66,108.79,2.96,110.59,4.67,1.1455
705,2,2048,8192,8192,512,5,102.4,94.8,705,False,2.0124,5.7348,7.7444,6.0168,5.7348,-4.69,124.46,128.43,3.19,131.83,5.92,1.2871
705,2,4096,8192,8192,1024,10,102.4,94.8,705,False,3.9749,5.7348,9.7261,6.2198,5.7348,-7.8,163.63,167.65,2.46,176.8,8.05,1.5637
705,2,8192,8192,8192,2048,19,107.79,99.8,705,False,7.5177,5.7348,13.2257,8.0836,7.9134,-2.11,206.6,206.27,-0.16,209.43,1.37,1.6361
705,2,1024,16384,16384,512,5,102.4,94.8,705,False,3.9247,5.7348,9.6586,6.1888,5.7348,-7.34,164.35,168.6,2.59,177.25,7.85,1.5606
705,2,2048,16384,16384,1024,10,102.4,94.8,705,False,7.7946,5.7348,13.4921,8.0004,7.7946,-2.57,206.5,208.58,1.01,212.51,2.91,1.6864
705,2,4096,16384,16384,2048,19,107.79,99.8,705,False,14.7753,5.7348,20.4627,15.7295,15.5529,-1.12,204.74,200.67,-1.99,202.28,-1.2,1.3009
705,2,8192,16384,16384,4096,38,107.79,99.8,705,False,29.4803,5.7348,35.1642,30.4354,30.2561,-0.59,201.63,200.14,-0.74,200.97,-0.32,1.1554
510,2,1024,4096,4096,128,2,64.0,59.3,510,False,0.5977,7.6092,8.1849,7.7129,7.6092,-1.34,85.85,87.97,2.46,88.38,2.95,1.0612
510,2,2048,4096,4096,256,3,85.33,79.0,510,False,0.8797,7.6092,8.465,7.7573,7.6092,-1.91,89.78,92.04,2.52,92.71,3.27,1.0912
510,2,4096,4096,4096,512,5,102.4,94.8,510,False,1.4423,7.6092,9.0364,7.7892,7.6092,-2.31,97.36,100.25,2.97,101.26,4.01,1.1601
510,2,8192,4096,4096,1024,10,102.4,94.8,510,False,2.8272,7.6092,10.4308,7.9091,7.6092,-3.79,113.51,115.83,2.04,118.12,4.06,1.3188
