clock,ctas,m,nk,grid,measured_w,clock_achieved,throttled,model_mean_w,model_peak_w,mean_predicts,peak_predicts,mean_correct,peak_correct
1200,8,2048,16384,1024,358.09,1200,False,355.6,416.1,False,True,True,False
1200,8,4096,16384,2048,362.55,1200,False,358.0,416.1,False,True,True,False
1200,8,8192,16384,4096,375.25,1185,False,365.1,416.1,False,True,True,False
900,8,1024,4096,128,124.8,900,False,121.4,266.5,False,False,True,True
900,8,2048,4096,256,145.0,900,False,143.9,266.5,False,False,True,True
900,8,4096,4096,512,187.91,900,False,187.6,266.5,False,False,True,True
900,8,8192,4096,1024,223.83,900,False,217.0,266.5,False,False,True,True
900,8,1024,8192,512,189.46,900,False,193.2,272.9,False,False,True,True
900,8,2048,8192,512,214.53,900,False,211.9,272.9,False,False,True,True
900,8,4096,8192,1024,229.44,900,False,219.8,272.9,False,False,True,True
900,8,8192,8192,2048,242.66,900,False,230.5,272.9,False,False,True,True
900,8,1024,16384,512,217.89,900,False,208.9,275.0,False,False,True,True
900,8,2048,16384,1024,242.82,900,False,232.6,275.0,False,False,True,True
900,8,4096,16384,2048,247.5,900,False,231.3,275.0,False,False,True,True
900,8,8192,16384,4096,245.75,900,False,234.7,275.0,False,False,True,True
705,8,1024,4096,128,114.26,705,False,112.1,226.1,False,False,True,True
705,8,2048,4096,256,132.07,705,False,130.6,226.1,False,False,True,True
705,8,4096,4096,512,167.11,705,False,166.2,226.1,False,False,True,True
705,8,8192,4096,1024,195.87,705,False,187.8,226.1,False,False,True,True
705,8,1024,8192,512,167.9,705,False,170.5,230.8,False,False,True,True
705,8,2048,8192,512,187.01,705,False,182.4,230.8,False,False,True,True
705,8,4096,8192,1024,196.9,705,False,187.1,230.8,False,False,True,True
705,8,8192,8192,2048,203.6,705,False,194.2,230.8,False,False,True,True
705,8,1024,16384,512,189.08,705,False,178.8,233.1,False,False,True,True
705,8,2048,16384,1024,203.87,705,False,196.5,233.1,False,False,True,True
705,8,4096,16384,2048,207.25,705,False,194.7,233.1,False,False,True,True
705,8,8192,16384,4096,204.14,705,False,197.0,233.1,False,False,True,True
510,8,1024,4096,128,106.16,510,False,104.6,186.7,False,False,True,True
510,8,2048,4096,256,119.74,510,False,119.1,186.7,False,False,True,True
510,8,4096,4096,512,147.9,510,False,147.7,186.7,False,False,True,True
510,8,8192,4096,1024,164.18,510,False,157.0,186.7,False,False,True,True
510,8,1024,8192,512,148.77,510,False,151.0,190.1,False,False,True,True
510,8,2048,8192,512,158.26,510,False,152.5,190.1,False,False,True,True
510,8,4096,8192,1024,166.91,510,False,155.3,190.1,False,False,True,True
510,8,8192,8192,2048,171.1,510,False,157.9,190.1,False,False,True,True
510,8,1024,16384,512,160.45,510,False,149.0,191.9,False,False,True,True
510,8,2048,16384,1024,169.99,510,False,159.7,191.9,False,False,True,True
510,8,4096,16384,2048,167.23,510,False,157.3,191.9,False,False,True,True
