m,nk,ctas,ar_mib,tc_over_tg,E_Bmeas_mJ,E_Bmeas_ms,E_Bmeas_f,E_Bcomp_mJ,E_Bcomp_ms,E_C_mJ,E_C_ms,E_C_fg,E_C_fc,E_C_vs_Bmeas_pct,E_C_vs_Bcomp_pct,E_compbias_pct,T_Bmeas_mJ,T_Bmeas_ms,T_Bmeas_f,T_Bcomp_mJ,T_Bcomp_ms,T_C_mJ,T_C_ms,T_C_fg,T_C_fc,T_C_vs_Bmeas_pct,T_C_vs_Bcomp_pct,T_compbias_pct,EDP_Bmeas_mJ,EDP_Bmeas_ms,EDP_Bmeas_f,EDP_Bcomp_mJ,EDP_Bcomp_ms,EDP_C_mJ,EDP_C_ms,EDP_C_fg,EDP_C_fc,EDP_C_vs_Bmeas_pct,EDP_C_vs_Bcomp_pct,EDP_compbias_pct
4096,8192,16,64,0.2728,813.68,3.5913,900,750.46,3.2922,750.46,3.2922,900,900,-7.77,0.0,-7.77,914.07,2.7503,1200,841.2,2.491,841.2,2.491,1200,1200,-7.97,0.0,-7.97,914.07,2.7503,1200,841.2,2.491,841.2,2.491,1200,1200,-7.97,0.0,-7.97
4096,8192,32,64,0.2374,800.59,3.5974,900,755.61,3.4183,755.61,3.4183,900,900,-5.62,0.0,-5.62,800.59,3.5974,900,755.61,3.4183,844.79,2.6516,1200,900,5.52,11.8,-5.62,800.59,3.5974,900,755.61,3.4183,844.79,2.6516,1200,900,5.52,11.8,-5.62
4096,16384,1,64,0.7835,3033.43,12.334,900,2982.66,12.0602,2874.29,11.9002,900,1410,-5.25,-3.63,-1.67,3390.79,9.3118,1200,3346.63,9.0836,3283.72,9.0331,1200,1410,-3.16,-1.88,-1.3,3390.79,9.3118,1200,3346.63,9.0836,3283.72,9.0331,1200,1410,-3.16,-1.88,-1.3
4096,16384,2,64,0.3936,3022.75,12.3675,900,2858.5,11.8225,2811.47,11.7431,900,1410,-6.99,-1.65,-5.43,3376.12,9.342,1200,3244.25,8.901,3218.29,8.876,1200,1410,-4.67,-0.8,-3.91,3376.12,9.342,1200,3244.25,8.901,3218.29,8.876,1200,1410,-4.67,-0.8,-3.91
4096,16384,4,64,0.2054,3027.29,12.3437,900,2802.42,11.7078,2787.77,11.6682,900,1410,-7.91,-0.52,-7.43,3406.92,9.3154,1200,3201.79,8.8138,3191.35,8.8011,1200,1410,-6.33,-0.33,-6.02,3406.92,9.3154,1200,3201.79,8.8138,3191.35,8.8011,1200,1410,-6.33,-0.33,-6.02
4096,16384,8,64,0.1143,3057.97,12.3554,900,2778.94,11.7219,2778.94,11.7219,900,900,-9.12,0.0,-9.12,3057.97,12.3554,900,2778.94,11.7219,3182.78,8.8548,1200,900,4.08,14.53,-9.12,3057.97,12.3554,900,2778.94,11.7219,3182.78,8.8548,1200,900,4.08,14.53,-9.12
4096,16384,16,64,0.0735,3052.24,12.3387,900,2768.42,11.7619,2768.42,11.7619,900,900,-9.3,0.0,-9.3,3052.24,12.3387,900,2768.42,11.7619,3177.58,8.9833,1200,510,4.11,14.78,-9.3,3052.24,12.3387,900,2768.42,11.7619,3177.58,8.9833,1200,510,4.11,14.78,-9.3
4096,16384,32,64,0.064,2875.8,12.3319,900,2773.98,11.8946,2773.98,11.8946,900,900,-3.54,0.0,-3.54,2875.8,12.3319,900,2773.98,11.8946,3167.08,9.1523,1200,510,10.13,14.17,-3.54,2875.8,12.3319,900,2773.98,11.8946,3167.08,9.1523,1200,510,10.13,14.17,-3.54
8192,4096,1,64,5.5975,1008.13,7.2376,1200,1005.58,6.9937,746.18,6.0355,510,1410,-25.98,-25.8,-0.25,1008.13,7.2376,1200,1005.58,6.9937,746.18,6.0355,510,1410,-25.98,-25.8,-0.25,1008.13,7.2376,1200,1005.58,6.9937,746.18,6.0355,510,1410,-25.98,-25.8,-0.25
8192,4096,2,64,2.812,680.91,4.8453,900,668.74,4.5591,518.51,3.0506,510,1410,-23.85,-22.46,-1.79,681.49,3.781,1200,674.3,3.5252,518.51,3.0506,510,1410,-23.92,-23.1,-1.05,681.49,3.781,1200,674.3,3.5252,518.51,3.0506,510,1410,-23.92,-23.1,-1.05
