model,pas,rep,layer,m_tokens,clock,clock_med,held,locked,ms_per_layer,power_w,idle_w,p_dyn_w,energy_mj_per_layer,e_dyn_mj_per_layer,tflops,kappa_mw_per_mhz_per_sm,replays,reps
qwen,5,0,0,7744,1005,1005,True,True,4.75367,242.31,63.42,178.89,1151.8617,850.384,122.99,1.64815,131,4
qwen,5,0,0,7744,1230,1230,True,True,3.95892,340.87,70.75,270.12,1349.4781,1069.3843,147.68,2.03342,157,4
qwen,5,0,0,7744,555,555,True,True,8.34154,163.24,60.75,102.49,1361.6728,854.9243,70.09,1.70988,74,4
qwen,5,0,0,7744,1125,1125,True,True,4.29337,280.4,65.77,214.63,1203.8596,921.485,136.18,1.7665,145,4
qwen,5,0,0,7744,1170,1170,True,True,4.14791,300.98,67.52,233.46,1248.4366,968.37,140.95,1.84758,150,4
qwen,5,0,0,7744,1380,1320,False,True,3.72571,404.69,79.87,324.82,1507.7578,1210.1853,156.92,2.27848,174,4
qwen,5,0,0,7744,1020,1020,True,True,4.68707,245.53,63.97,181.56,1150.8153,850.9837,124.74,1.64815,133,4
qwen,5,0,0,7744,735,735,True,True,6.39386,195.65,61.95,133.7,1250.9596,854.8597,91.44,1.6843,97,4
qwen,5,0,0,7744,1245,1245,True,True,3.91735,349.9,71.34,278.56,1370.6804,1091.2167,149.25,2.07169,159,4
qwen,5,0,0,7744,825,825,True,True,5.71339,212.68,62.5,150.18,1215.1242,858.0372,102.33,1.68552,109,4
qwen,5,0,0,7744,945,945,True,True,5.02393,234.07,63.42,170.65,1175.9521,857.3342,116.37,1.67206,124,4
qwen,5,0,0,7744,1290,1290,True,True,3.79727,379.77,73.37,306.4,1442.0897,1163.4839,153.97,2.19925,164,4
qwen,5,0,0,7744,1095,1095,True,True,4.4033,267.52,65.18,202.34,1177.9698,890.9629,132.78,1.71098,141,4
qwen,5,0,0,7744,915,915,True,True,5.18669,228.51,62.96,165.55,1185.2111,858.6569,112.72,1.67527,120,4
qwen,5,0,0,7744,1065,1065,True,True,4.51531,255.19,63.7,191.49,1152.263,864.6375,129.48,1.66484,138,4
qwen,5,0,0,7744,1155,1155,True,True,4.19649,293.91,66.92,226.99,1233.3903,952.5612,139.32,1.8197,148,4
qwen,5,0,0,7744,1140,1140,True,True,4.24454,287.47,66.65,220.82,1220.1771,937.2787,137.74,1.79353,147,4
qwen,5,0,0,7744,870,870,True,True,5.42192,221.13,62.83,158.3,1198.9486,858.2895,107.83,1.68476,115,4
qwen,5,0,0,7744,1215,1215,True,True,4.00278,330.22,69.55,260.67,1321.7985,1043.405,146.06,1.98651,155,4
qwen,5,0,0,7744,975,975,True,True,4.88893,238.49,63.42,175.07,1165.9613,855.9053,119.59,1.66258,127,4
qwen,5,0,0,7744,1260,1260,True,True,3.87618,357.8,72.22,285.58,1386.8959,1106.9585,150.83,2.09862,160,4
qwen,5,0,0,7744,1200,1200,True,True,4.04721,321.44,69.55,251.89,1300.9363,1019.4526,144.46,1.9436,154,4
qwen,5,0,0,7744,1035,1035,True,True,4.62723,247.0,63.7,183.3,1142.9259,848.1713,126.35,1.63983,134,4
qwen,5,0,0,7744,930,930,True,True,5.09479,229.1,63.1,166.0,1167.2164,845.7352,114.75,1.65273,122,4
qwen,5,0,0,7744,1050,1050,True,True,4.57583,248.15,63.42,184.73,1135.4911,845.2922,127.77,1.62901,136,4
qwen,5,0,0,7744,645,645,True,True,7.28202,176.0,60.47,115.53,1281.6355,841.2918,80.29,1.65848,85,4
qwen,5,0,0,7744,1080,1080,True,True,4.4644,259.89,63.97,195.92,1160.2522,874.6647,130.96,1.6797,139,4
