pas,block_m,part,sms,clock,clock_med,held,real_rows,padded_rows,tiles,ms,power_w,idle_w,p_dyn_w,kappa_mw_per_mhz_per_sm,e_dyn_mj,replays
1,16,light,54,1065,1065,True,1821,1936,3388,0.83846,124.05,62.83,61.22,1.06451,51.33079,437
1,16,heavy,54,1065,1065,True,60131,60880,106540,24.47022,118.0,62.83,55.17,0.95931,1350.02193,15
1,32,light,54,1065,1065,True,1821,2080,1820,0.53296,139.93,62.83,77.1,1.34064,41.09101,500
1,32,heavy,54,1065,1065,True,60131,61824,54096,14.29224,130.68,62.83,67.85,1.17979,969.72834,26
1,64,light,54,1065,1065,True,1821,2432,1064,0.47517,136.38,62.83,73.55,1.27891,34.94862,500
1,64,heavy,54,1065,1065,True,60131,63552,27804,11.32439,128.19,62.83,65.36,1.1365,740.16186,33
1,128,light,54,1065,1065,True,1821,3200,700,0.47362,135.05,62.83,72.22,1.25578,34.20489,500
1,128,heavy,54,1065,1065,True,60131,67072,14672,9.10278,133.16,62.83,70.33,1.22292,640.19856,41
1,16,light,54,1155,1155,True,1821,1936,3388,0.78826,137.58,65.77,71.81,1.15135,56.60511,471
1,16,heavy,54,1155,1155,True,60131,60880,106540,22.96527,130.22,65.77,64.45,1.03335,1480.11196,16
1,32,light,54,1155,1155,True,1821,2080,1820,0.50093,155.43,65.77,89.66,1.43755,44.91336,500
1,32,heavy,54,1155,1155,True,60131,61824,54096,13.37063,147.12,65.77,81.35,1.30431,1087.70049,28
1,64,light,54,1155,1155,True,1821,2432,1064,0.44116,151.93,65.77,86.16,1.38143,38.01058,500
1,64,heavy,54,1155,1155,True,60131,63552,27804,10.47878,143.57,65.77,77.8,1.24739,815.24916,35
1,128,light,54,1155,1155,True,1821,3200,700,0.4377,151.06,65.77,85.29,1.36748,37.33176,500
1,128,heavy,54,1155,1155,True,60131,67072,14672,8.41082,148.71,65.77,82.94,1.32981,697.59337,44
1,16,light,54,1035,1035,True,1821,1936,3388,0.85384,123.03,62.83,60.2,1.07712,51.40124,435
1,16,heavy,54,1035,1035,True,60131,60880,106540,24.99287,117.23,62.83,54.4,0.97334,1359.61215,14
1,32,light,54,1035,1035,True,1821,2080,1820,0.54336,138.46,62.83,75.63,1.35319,41.09398,500
1,32,heavy,54,1035,1035,True,60131,61824,54096,14.61987,129.48,62.83,66.65,1.19252,974.41435,25
1,64,light,54,1035,1035,True,1821,2432,1064,0.48591,135.05,62.83,72.22,1.29218,35.09242,500
1,64,heavy,54,1035,1035,True,60131,63552,27804,11.64151,125.85,62.83,63.02,1.12757,733.64771,32
1,128,light,54,1035,1035,True,1821,3200,700,0.48596,133.44,62.83,70.61,1.26337,34.31396,500
1,128,heavy,54,1035,1035,True,60131,67072,14672,9.36188,130.54,62.83,67.71,1.21149,633.89296,40
1,16,light,54,1290,1290,True,1821,1936,3388,0.72067,164.81,72.22,92.59,1.32917,66.72664,500
1,16,heavy,54,1290,1290,True,60131,60880,106540,20.8521,157.78,72.22,85.56,1.22825,1784.10563,17
1,32,light,54,1290,1290,True,1821,2080,1820,0.46046,187.41,72.22,115.19,1.6536,53.04041,500
1,32,heavy,54,1290,1290,True,60131,61824,54096,12.19258,178.89,72.22,106.67,1.53129,1300.58241,30
1,64,light,54,1290,1290,True,1821,2432,1064,0.39958,181.57,72.22,109.35,1.56977,43.69356,500
1,64,heavy,54,1290,1290,True,60131,63552,27804,9.39141,175.12,72.22,102.9,1.47717,966.3758,39
1,128,light,54,1290,1290,True,1821,3200,700,0.39318,181.11,72.22,108.89,1.56316,42.81386,500
1,128,heavy,54,1290,1290,True,60131,67072,14672,7.52861,183.92,72.22,111.7,1.6035,840.94578,49
1,16,light,54,930,930,True,1821,1936,3388,0.93112,117.73,62.5,55.23,1.09976,51.42585,399
1,16,heavy,54,930,930,True,60131,60880,106540,27.40547,110.08,62.5,47.58,0.94743,1303.9524,13
1,32,light,54,930,930,True,1821,2080,1820,0.59266,131.83,62.5,69.33,1.38053,41.08891,500
1,32,heavy,54,930,930,True,60131,61824,54096,16.04204,122.9,62.5,60.4,1.20271,968.93926,23
1,64,light,54,930,930,True,1821,2432,1064,0.53675,127.73,62.5,65.23,1.29888,35.01225,500
1,64,heavy,54,930,930,True,60131,63552,27804,12.93064,118.6,62.5,56.1,1.11708,725.40879,28
1,128,light,54,930,930,True,1821,3200,700,0.53969,125.98,62.5,63.48,1.26404,34.25947,500
1,128,heavy,54,930,930,True,60131,67072,14672,10.40965,123.03,62.5,60.53,1.2053,630.096,35
1,16,light,54,1245,1245,True,1821,1936,3388,0.74103,156.63,70.75,85.88,1.27741,63.6395,500
1,16,heavy,54,1245,1245,True,60131,60880,106540,21.48972,149.59,70.75,78.84,1.17269,1694.24967,17
1,32,light,54,1245,1245,True,1821,2080,1820,0.4725,177.75,70.75,107.0,1.59155,50.55761,500
1,32,heavy,54,1245,1245,True,60131,61824,54096,12.56429,167.49,70.75,96.74,1.43894,1215.46973,29
1,64,light,54,1245,1245,True,1821,2432,1064,0.41153,174.8,70.75,104.05,1.54767,42.82019,500
1,64,heavy,54,1245,1245,True,60131,63552,27804,9.71975,166.02,70.75,95.27,1.41708,926.00027,38
1,128,light,54,1245,1245,True,1821,3200,700,0.40629,172.18,70.75,101.43,1.5087,41.20966,500
1,128,heavy,54,1245,1245,True,60131,67072,14672,7.79497,172.18,70.75,101.43,1.5087,790.64331,48
1,16,light,54,1200,1200,True,1821,1936,3388,0.76323,147.24,68.4,78.84,1.21667,60.17272,483
1,16,heavy,54,1200,1200,True,60131,60880,106540,22.17714,139.93,68.4,71.53,1.10386,1586.33091,16
1,32,light,54,1200,1200,True,1821,2080,1820,0.48582,166.88,68.4,98.48,1.51975,47.84363,500
1,32,heavy,54,1200,1200,True,60131,61824,54096,12.94533,157.5,68.4,89.1,1.375,1153.42857,28
1,64,light,54,1200,1200,True,1821,2432,1064,0.4259,161.05,68.4,92.65,1.42978,39.45973,500
1,64,heavy,54,1200,1200,True,60131,63552,27804,10.07694,156.03,68.4,87.63,1.35231,883.04198,37
1,128,light,54,1200,1200,True,1821,3200,700,0.42086,162.09,68.4,93.69,1.44583,39.43078,500
1,128,heavy,54,1200,1200,True,60131,67072,14672,8.08498,161.32,68.4,92.92,1.43395,751.25647,46
1,16,light,54,1110,1110,True,1821,1936,3388,0.81173,131.55,64.85,66.7,1.11278,54.1427,458
1,16,heavy,54,1110,1110,True,60131,60880,106540,23.69126,124.37,64.85,59.52,0.99299,1410.10361,15
1,32,light,54,1110,1110,True,1821,2080,1820,0.51567,148.39,64.85,83.54,1.39373,43.07938,500
1,32,heavy,54,1110,1110,True,60131,61824,54096,13.80268,139.6,64.85,74.75,1.24708,1031.75022,27
1,64,light,54,1110,1110,True,1821,2432,1064,0.4574,144.77,64.85,79.92,1.33333,36.55531,500
1,64,heavy,54,1110,1110,True,60131,63552,27804,10.89281,135.65,64.85,70.8,1.18118,771.21084,34
1,128,light,54,1110,1110,True,1821,3200,700,0.4549,143.84,64.85,78.99,1.31782,35.93231,500
1,128,heavy,54,1110,1110,True,60131,67072,14672,8.74792,142.82,64.85,77.97,1.3008,682.07497,42
2,16,light,54,1035,1035,True,1821,1936,3388,0.85385,123.3,63.1,60.2,1.07712,51.4017,435
2,16,heavy,54,1035,1035,True,60131,60880,106540,24.99294,116.86,63.1,53.76,0.96189,1343.62038,14
2,32,light,54,1035,1035,True,1821,2080,1820,0.54336,138.87,63.1,75.77,1.3557,41.17004,500
2,32,heavy,54,1035,1035,True,60131,61824,54096,14.61936,130.07,63.1,66.97,1.19825,979.0587,25
2,64,light,54,1035,1035,True,1821,2432,1064,0.48592,135.37,63.1,72.27,1.29308,35.11713,500
2,64,heavy,54,1035,1035,True,60131,63552,27804,11.64175,126.25,63.1,63.15,1.1299,735.17652,32
2,128,light,54,1035,1035,True,1821,3200,700,0.48596,133.9,63.1,70.8,1.26677,34.40602,500
2,128,heavy,54,1035,1035,True,60131,67072,14672,9.36182,131.55,63.1,68.45,1.22473,640.81678,40
2,16,light,54,1065,1065,True,1821,1936,3388,0.83742,125.22,63.7,61.52,1.06973,51.51811,442
2,16,heavy,54,1065,1065,True,60131,60880,106540,24.46669,119.08,63.7,55.38,0.96296,1354.96504,15
2,32,light,54,1065,1065,True,1821,2080,1820,0.53299,140.35,63.7,76.65,1.33281,40.85341,500
2,32,heavy,54,1065,1065,True,60131,61824,54096,14.30172,131.22,63.7,67.52,1.17406,965.65242,26
2,64,light,54,1065,1065,True,1821,2432,1064,0.47512,136.98,63.7,73.28,1.27421,34.81681,500
2,64,heavy,54,1065,1065,True,60131,63552,27804,11.34222,127.12,63.7,63.42,1.10276,719.32361,33
2,128,light,54,1065,1065,True,1821,3200,700,0.47364,135.65,63.7,71.95,1.25109,34.07863,500
2,128,heavy,54,1065,1065,True,60131,67072,14672,9.10887,133.57,63.7,69.87,1.21492,636.43668,41
2,16,light,54,690,690,True,1821,1936,3388,1.22073,102.76,60.47,42.29,1.135,51.62458,304
