strategy,freq_mhz,msg_mib,latency_run1_ms,latency_run2_ms,abs_deviation_pct
NCCL,300,256.0,4.765368347167969,4.763842468261719,0.032
NCCL,510,8.0,0.2593565427339994,0.26065740752638433,0.502
NCCL,510,16.0,0.40283639975610724,0.4021005217562017,0.183
NCCL,510,25.0,0.5365507706351902,0.5357553910235969,0.148
NCCL,510,32.0,0.6008222507156489,0.6010038627210513,0.03
NCCL,510,64.0,1.0707967970106336,1.0704361625339673,0.034
NCCL,510,100.0,1.5673343505859374,1.5667534030213648,0.037
NCCL,510,128.0,1.9285554504394533,1.92574462890625,0.146
NCCL,510,256.0,3.7430027553013394,3.737638927641369,0.143
NCCL,705,8.0,0.20716531443041425,0.2065222552442175,0.31
NCCL,705,16.0,0.3250090789794922,0.32530190512097834,0.09
NCCL,705,25.0,0.43911808013916015,0.43952255249023436,0.092
NCCL,705,32.0,0.4959203155947403,0.4949632823038444,0.193
NCCL,705,64.0,0.9045373251271803,0.9033939756196121,0.126
NCCL,705,100.0,1.3334563156654096,1.3339012409078665,0.033
NCCL,705,128.0,1.6444237750509512,1.641389238073471,0.185
NCCL,705,256.0,3.2013397216796875,3.203490193684896,0.067
NCCL,900,8.0,0.16652040834780094,0.1674186421154146,0.539
NCCL,900,16.0,0.2616113864521118,0.2618850265724072,0.105
NCCL,900,25.0,0.3542457510571961,0.3548202166274258,0.162
NCCL,900,32.0,0.40418966854319854,0.4031414228616302,0.259
NCCL,900,64.0,0.7441015510915596,0.7437015141282126,0.054
NCCL,900,100.0,1.101042325731734,1.102152821715449,0.101
NCCL,900,128.0,1.3647907457853619,1.3674130031040737,0.192
NCCL,900,256.0,2.648784348060345,2.6522305192618534,0.13
NCCL,1200,8.0,0.13005100075258028,0.13026759624481202,0.167
NCCL,1200,16.0,0.20596353719522664,0.20579350503642907,0.083
NCCL,1200,25.0,0.28393648756020384,0.28164031864593386,0.809
NCCL,1200,32.0,0.3172286683344746,0.31792007013853746,0.218
NCCL,1200,64.0,0.590759142707376,0.5913531720196759,0.101
NCCL,1200,100.0,0.8730874294704861,0.8738861762152779,0.091
NCCL,1200,128.0,1.0654678135702054,1.0665338385595033,0.1
NCCL,1200,256.0,2.0524086400082235,2.0523924175061676,0.001
NCCL,1410,8.0,0.11322379119371265,0.11345889777966653,0.208
NCCL,1410,16.0,0.18590181905657854,0.18588447384717988,0.009
NCCL,1410,25.0,0.2589297301017198,0.25866106644417475,0.104
NCCL,1410,32.0,0.2939068289364085,0.29364568130437274,0.089
NCCL,1410,64.0,0.557357718198354,0.5556885704627403,0.299
NCCL,1410,100.0,0.8380634064370014,0.8382229487101236,0.019
NCCL,1410,128.0,1.0312126746544472,1.0289335593199118,0.221
NCCL,1410,256.0,1.9601008717606707,1.958671417236328,0.073
