m,n,k,freq_mhz,sm_count,gflop,latency_ms,power_w,energy_mj,gflops,throttled
4096,4096,4096,510,14,137.439,11.789141337076822,63.4345,0.748,11658.1,False
4096,4096,4096,510,27,137.439,5.502805074055989,76.1184,0.419,24976.2,False
4096,4096,4096,510,54,137.439,2.79859193166097,95.20460000000001,0.266,49110.0,False
4096,4096,4096,510,81,137.439,1.9676159222920735,111.80220000000001,0.22,69850.5,False
4096,4096,4096,510,108,137.439,1.4173866907755535,129.24609999999998,0.183,96966.4,False
4096,4096,4096,705,14,137.439,8.533503850301107,70.7073,0.603,16105.8,False
4096,4096,4096,705,27,137.439,3.9850667317708335,85.7698,0.342,34488.5,False
4096,4096,4096,705,54,137.439,2.029226620992025,115.19419999999998,0.234,67729.7,False
4096,4096,4096,705,81,137.439,1.4272853533426921,133.76919999999998,0.191,96294.0,False
4096,4096,4096,705,108,137.439,1.0316800276438396,161.31029999999998,0.166,133218.6,False
4096,4096,4096,900,14,137.439,6.687231699625651,76.3458,0.511,20552.4,False
4096,4096,4096,900,27,137.439,3.1266132990519204,97.21920000000001,0.304,43957.8,False
4096,4096,4096,900,54,137.439,1.592149257659912,127.26960000000001,0.203,86322.9,False
4096,4096,4096,900,81,137.439,1.1195733547210693,157.1524,0.176,122760.1,False
4096,4096,4096,900,108,137.439,0.807423988978068,189.70044444444443,0.153,170219.1,False
4096,4096,4096,1200,14,137.439,5.014357248942058,99.35469999999998,0.498,27409.1,False
4096,4096,4096,1200,27,137.439,2.3483732541402182,132.4328,0.311,58525.2,False
4096,4096,4096,1200,54,137.439,1.1963733037312825,186.04000000000002,0.223,114879.7,False
4096,4096,4096,1200,81,137.439,0.8444586594899496,232.36377777777776,0.196,162753.9,False
4096,4096,4096,1200,108,137.439,0.609279990196228,303.8531111111111,0.185,225576.0,False
4096,4096,4096,1410,14,137.439,4.278784116109212,139.6986,0.598,32121.0,False
4096,4096,4096,1410,27,137.439,2.0008959770202637,206.54039999999995,0.413,68688.7,False
4096,4096,4096,1410,54,137.439,1.0202453136444092,304.4634,0.311,134711.7,False
4096,4096,4096,1410,81,137.439,0.7188479900360107,391.36733333333336,0.281,191193.3,False
4096,4096,4096,1410,108,137.439,0.5195093154907227,380.75,0.198,264555.3,False
4096,8192,8192,300,14,549.756,80.9497578938802,58.61672727272728,4.745,6791.3,False
4096,8192,8192,300,27,549.756,36.263936360677086,67.763,2.457,15159.8,False
4096,8192,8192,300,54,549.756,17.540607452392578,80.732,1.416,31341.9,False
4096,8192,8192,300,81,549.756,12.024319966634115,89.6944,1.079,45720.3,False
4096,8192,8192,300,108,549.756,9.24996248881022,100.8058,0.932,59433.3,False
4096,8192,8192,510,14,549.756,47.66088358561198,64.66159999999999,3.082,11534.7,False
4096,8192,8192,510,27,549.756,21.347157796223957,78.64218181818183,1.679,25753.1,False
4096,8192,8192,510,54,549.756,10.335061391194662,99.7616,1.031,53193.3,False
4096,8192,8192,510,81,549.756,7.080618540445964,114.0642,0.808,77642.3,False
4096,8192,8192,510,108,549.756,5.444949467976888,138.8079,0.756,100966.2,False
4096,8192,8192,705,14,549.756,34.45777130126953,69.5412,2.396,15954.5,False
4096,8192,8192,705,27,549.756,15.454719543457031,90.04436363636364,1.392,35572.0,False
4096,8192,8192,705,54,549.756,7.475370407104492,108.6249,0.812,73542.3,False
4096,8192,8192,705,81,549.756,5.131946563720703,144.9386,0.744,107124.2,False
4096,8192,8192,705,108,549.756,3.9490559895833335,168.28820000000002,0.665,139212.0,False
4096,8192,8192,900,14,549.756,26.994517008463543,77.3106,2.087,20365.5,False
4096,8192,8192,900,27,549.756,12.110506693522135,105.85230000000001,1.282,45394.9,False
4096,8192,8192,900,54,549.756,5.860181172688802,132.8422,0.778,93812.1,False
4096,8192,8192,900,81,549.756,4.019712130228679,178.3817,0.717,136765.0,False
4096,8192,8192,900,108,549.756,3.0912853876749673,214.8165,0.664,177840.5,False
4096,8192,8192,1200,14,549.756,20.262229919433594,101.09909090909092,2.048,27132.0,False
4096,8192,8192,1200,27,549.756,9.084245045979818,146.2329,1.328,60517.5,False
4096,8192,8192,1200,54,549.756,4.396714528401692,199.7919,0.878,125037.9,False
4096,8192,8192,1200,81,549.756,3.0202881495157876,249.3553,0.753,182021.0,False
4096,8192,8192,1200,108,549.756,2.3237973848978677,329.63929999999993,0.766,236576.5,False
4096,8192,8192,1410,14,549.756,17.25610605875651,134.352,2.318,31858.6,False
4096,8192,8192,1410,27,549.756,7.7414398193359375,222.2062,1.72,71014.7,False
4096,8192,8192,1410,54,549.756,3.7481813430786133,312.2175,1.17,146672.7,False
4096,8192,8192,1410,81,549.756,2.5758719444274902,396.7075000000001,1.022,213425.1,False
4096,8192,8192,1410,108,549.756,1.9819520314534504,394.7059,0.782,277381.0,False
4096,16384,16384,300,14,2199.023,311.6153157552083,60.84915789473684,18.962,7056.9,False
