rep,m,n,k,freq_req_mhz,n_squat,sm_avail,latency_ms,power_w,energy_mj,gflops,clock_sm_med,clock_sm_min,clock_held,throttle,temp_c,p_squat_w,probe_sm_count,probe_ok,iters,window_s,n_samples,power_min_w,power_max_w,status,p_static_w,p_static_squat_w,p_dynamic_w,energy_total_mj,energy_dynamic_mj,energy_static_mj,static_frac,p_dynamic_per_sm_w,e_dyn_squat_mj
1,4096,16384,16384,1410,94,14,60.734376,166.179,10092.7778,36207.2,1410,1410,True,none,46,89.985,14,True,32,1.944,29,164.722,166.454,ok,85.372,88.527,80.807,10092.7779,4907.7627,5185.0151,0.5137,5.7719,4716.1458
1,8192,4096,4096,1410,94,14,7.902511,150.805,1191.7381,34783.6,1410,1410,True,none,46,89.985,14,True,248,1.96,30,150.483,151.073,ok,85.372,88.527,65.433,1191.7382,517.085,674.6532,0.5661,4.6738,492.1526
1,1024,8192,8192,1410,94,14,4.124243,148.482,612.3758,33324.7,1410,1410,True,none,46,89.985,14,True,473,1.951,29,147.026,149.348,ok,85.372,88.527,63.11,612.3758,260.281,352.0949,0.575,4.5079,247.269
1,4096,16384,16384,1410,81,27,31.301143,224.456,7025.7294,70253.8,1410,1410,True,none,49,92.481,27,True,63,1.972,30,222.133,225.912,ok,85.372,88.796,139.084,7025.7294,4353.4882,2672.2412,0.3804,5.1513,4246.3131
1,1024,8192,8192,1410,81,27,2.161009,196.88,425.4595,63599.4,1410,1410,True,none,49,92.481,27,True,903,1.951,29,196.014,197.202,ok,85.372,88.796,111.508,425.4595,240.9698,184.4897,0.4336,4.1299,233.5705
1,2048,4096,4096,1410,81,27,1.114655,194.558,216.865,61650.9,1410,1410,True,none,49,92.481,27,True,1725,1.923,29,194.29,195.156,ok,85.372,88.796,109.186,216.865,121.7047,95.1603,0.4388,4.0439,117.8881
1,4096,8192,8192,1410,81,27,8.025485,220.409,1768.8892,68501.3,1410,1410,True,none,50,92.481,27,True,246,1.974,30,218.945,221.304,ok,85.372,88.796,135.037,1768.8891,1083.7374,685.1517,0.3873,5.0014,1056.2582
1,1024,4096,4096,1410,81,27,0.561067,192.834,108.1927,61240.0,1410,1410,True,none,50,92.481,27,True,3027,1.698,24,192.244,193.432,ok,85.372,88.796,107.462,108.1928,60.2934,47.8994,0.4427,3.9801,58.3723
1,2048,16384,16384,1410,81,27,15.866127,225.046,3570.6083,69299.3,1410,1410,True,none,51,92.481,27,True,124,1.967,30,222.724,225.314,ok,85.372,88.796,139.674,3570.6084,2216.0854,1354.523,0.3794,5.1731,2161.7598
1,8192,16384,16384,1410,81,27,62.323468,227.636,14187.0649,70568.1,1410,1410,True,none,51,92.481,27,True,31,1.932,29,225.912,228.226,ok,85.372,88.796,142.264,14187.065,8866.3859,5320.6791,0.375,5.269,8652.9903
1,4096,4096,4096,1410,81,27,2.118062,204.169,432.4426,64889.0,1410,1410,True,none,51,92.481,27,True,923,1.955,29,203.359,205.027,ok,85.372,88.796,118.797,432.4426,251.6194,180.8232,0.4181,4.3999,244.3672
1,2048,8192,8192,1410,81,27,4.120112,219.582,904.7025,66716.1,1410,1410,True,none,51,92.481,27,True,476,1.961,30,214.725,222.259,ok,85.372,88.796,134.21,904.7024,552.9602,351.7422,0.3888,4.9707,538.853
1,1024,16384,16384,1410,81,27,8.127157,216.178,1756.9125,67644.3,1410,1410,True,none,51,92.481,27,True,242,1.967,30,213.54,217.631,ok,85.372,88.796,130.806,1756.9125,1063.0809,693.8316,0.3949,4.8447,1035.2535
1,8192,4096,4096,1410,81,27,4.119301,208.37,858.3388,66729.3,1410,1410,True,none,51,92.481,27,True,484,1.994,30,205.678,209.721,ok,85.372,88.796,122.998,858.3387,506.6658,351.673,0.4097,4.5555,492.5613
1,8192,8192,8192,1410,81,27,15.854433,222.259,3523.7904,69350.4,1410,1410,True,none,52,92.481,27,True,124,1.966,30,220.768,223.356,ok,85.372,88.796,136.887,3523.7904,2170.2658,1353.5247,0.3841,5.0699,2115.9802
1,2048,4096,4096,1410,0,108,0.320641,404.139,129.5837,214318.7,1350,1305,False,SwPowerCap,62,86.979,108,True,5798,1.859,28,366.668,412.701,ok,80.883,77.552,323.256,129.5835,103.6493,25.9343,0.2001,2.9931,104.7172
1,1024,4096,4096,1410,0,108,0.205739,388.547,79.9392,167006.6,1410,1410,True,none,64,86.979,108,True,7510,1.545,21,381.61,392.136,ok,85.372,81.285,303.175,79.9393,62.3749,17.5643,0.2197,2.8072,63.2158
1,8192,8192,8192,1410,0,108,4.233649,395.264,1673.4092,259707.8,1245,1230,False,SwPowerCap,65,86.979,108,True,496,2.1,32,384.781,411.949,ok,73.026,71.019,322.238,1673.409,1364.2423,309.1668,0.1848,2.9837,1372.7401
1,1024,8192,8192,1410,0,108,0.579992,396.495,229.9638,236967.1,1275,1275,False,SwPowerCap,65,86.979,108,True,3120,1.81,27,395.631,406.889,ok,75.271,72.885,321.224,229.9639,186.3075,43.6565,0.1898,2.9743,187.691
1,4096,4096,4096,1410,0,108,0.563859,400.266,225.6937,243746.9,1275,1260,False,SwPowerCap,66,86.979,108,True,3254,1.835,27,391.004,410.063,ok,75.271,72.885,324.995,225.6936,183.2515,42.4421,0.1881,3.0092,184.5965
1,2048,16384,16384,1410,0,108,4.342881,400.087,1737.5302,253175.6,1260,1245,False,SwPowerCap,67,86.979,108,True,452,1.963,30,384.327,409.795,ok,74.148,71.952,325.939,1737.5302,1415.5124,322.0178,0.1853,3.0179,1425.0506
1,4096,8192,8192,1410,0,108,2.200488,399.348,878.7603,249833.6,1260,1245,False,SwPowerCap,67,86.979,108,True,899,1.978,30,383.007,414.69,ok,74.148,71.952,325.2,878.7605,715.5978,163.1627,0.1857,3.0111,720.4307
1,8192,16384,16384,1410,0,108,16.725263,400.266,6694.5541,262958.3,1245,1230,False,SwPowerCap,67,86.979,108,True,116,1.94,29,389.551,405.757,ok,73.026,71.019,327.24,6694.5541,5473.1739,1221.3803,0.1824,3.03,5506.7451
1,2048,8192,8192,1410,0,108,1.1019,404.893,446.1515,249458.2,1275,1245,False,SwPowerCap,67,86.979,108,True,1675,1.846,27,380.289,412.105,ok,75.271,72.885,329.622,446.1516,363.2107,82.9409,0.1859,3.0521,365.8391
1,4096,16384,16384,1410,0,108,8.378738,401.122,3360.896,262452.8,1245,1215,False,SwPowerCap,68,86.979,108,True,231,1.935,29,382.01,401.665,ok,73.026,71.019,328.096,3360.8961,2749.0298,611.8663,0.1821,3.0379,2765.8477
1,8192,4096,4096,1410,0,108,1.130138,397.192,448.8817,243225.1,1260,1260,False,SwPowerCap,68,86.979,108,True,1668,1.885,28,390.683,413.237,ok,74.148,71.952,323.044,448.8818,365.0838,83.798,0.1867,2.9911,367.5659
1,1024,16384,16384,1410,0,108,2.184554,404.304,883.2239,251655.9,1260,1245,False,SwPowerCap,68,86.979,108,True,897,1.96,30,379.968,405.16,ok,74.148,71.952,330.156,883.2239,721.2427,161.9812,0.1834,3.057,726.0406
1,2048,16384,16384,1410,54,54,7.86228,345.056,2712.927,139846.4,1410,1410,True,none,62,99.601,54,True,248,1.95,29,342.744,348.777,ok,85.372,88.796,259.684,2712.9269,2041.7083,671.2186,0.2474,4.809,2014.7879
1,1024,16384,16384,1410,54,54,4.13934,330.234,1366.9507,132812.4,1410,1410,True,none,62,99.601,54,True,473,1.958,29,319.508,336.65,ok,85.372,88.796,244.862,1366.9508,1013.5671,353.3837,0.2585,4.5345,999.394
1,2048,8192,8192,1410,54,54,2.099068,331.153,695.1126,130952.4,1410,1410,True,none,62,99.601,54,True,934,1.961,30,327.057,333.74,ok,85.372,88.796,245.781,695.1127,515.911,179.2016,0.2578,4.5515,508.7238
1,1024,4096,4096,1410,54,54,0.310698,287.062,89.1897,110588.7,1410,1410,True,none,60,99.601,54,True,5861,1.821,27,285.929,288.281,ok,85.372,88.796,201.69,89.1896,62.6647,26.5249,0.2974,3.735,61.6008
1,8192,4096,4096,1410,54,54,2.045134,327.057,668.8754,134405.8,1410,1410,True,none,62,99.601,54,True,956,1.955,29,325.924,328.779,ok,85.372,88.796,241.685,668.8754,494.2782,174.5972,0.261,4.4756,487.2757
1,4096,8192,8192,1410,54,54,3.985002,342.415,1364.5243,137956.2,1410,1410,True,none,63,99.601,54,True,492,1.961,30,340.102,344.145,ok,85.372,88.796,257.043,1364.5245,1024.3169,340.2076,0.2493,4.7601,1010.6722
1,4096,4096,4096,1410,54,54,1.078979,318.212,343.3442,127378.7,1410,1410,True,none,62,99.601,54,True,1725,1.861,28,317.186,319.837,ok,85.372,88.796,232.84,343.3441,251.2295,92.1146,0.2683,4.3119,247.535
1,8192,16384,16384,1410,54,54,30.606961,355.678,10886.2228,143694.3,1410,1410,True,none,64,99.601,54,True,65,1.989,30,353.854,357.674,ok,85.372,88.796,270.306,10886.2227,8273.2452,2612.9775,0.24,5.0057,8168.447
1,2048,4096,4096,1410,54,54,0.542036,317.912,172.3196,126780.4,1410,1410,True,none,63,99.601,54,True,3630,1.968,30,316.589,318.906,ok,85.372,88.796,232.54,172.3197,126.0451,46.2747,0.2685,4.3063,124.1891
1,8192,8192,8192,1410,54,54,7.864912,347.146,2730.2729,139799.6,1410,1410,True,none,64,99.601,54,True,251,1.974,30,345.238,349.33,ok,85.372,88.796,261.774,2730.2727,2058.8295,671.4433,0.2459,4.8477,2031.9
1,4096,16384,16384,1410,54,54,15.494927,354.5,5492.9518,141918.9,1410,1410,True,none,64,99.601,54,True,128,1.983,30,351.915,356.326,ok,85.372,88.796,269.128,5492.9516,4170.1187,1322.8329,0.2408,4.9839,4117.0641
1,1024,8192,8192,1410,54,54,1.103157,315.198,347.7128,124587.0,1410,1410,True,none,63,99.601,54,True,1751,1.932,29,313.153,316.92,ok,85.372,88.796,229.826,347.7129,253.5342,94.1787,0.2709,4.256,249.757
1,4096,8192,8192,1410,27,81,2.733351,404.304,1105.1046,201128.9,1365,1335,False,SwPowerCap,65,99.601,81,True,729,1.993,30,376.786,406.614,ok,82.005,85.17,322.299,1105.1047,880.9565,224.1483,0.2028,3.979,872.3052
1,4096,16384,16384,1410,27,81,10.612165,396.629,4209.0923,207217.2,1335,1335,False,SwPowerCap,66,99.601,81,True,186,1.974,30,389.551,413.566,ok,79.76,82.932,316.869,4209.0924,3362.6638,846.4286,0.2011,3.912,3329.0043
1,2048,16384,16384,1410,27,81,5.431061,400.266,2173.8692,202448.8,1350,1350,False,SwPowerCap,67,99.601,81,True,360,1.955,29,395.899,402.254,ok,80.883,84.051,319.383,2173.8691,1734.5909,439.2782,0.2021,3.943,1717.383
